(96, 25, 28, 'entropy', 'weighted', 'sqrt') -0.04722894881673091
(126, 32, 27, 'entropy', 'weighted', 'sqrt') -0.047354785928552016
(15, 24, 36, 'entropy', 'weighted', 'log2') -0.04745028602560619
(144, 10, 34, 'gini', 'weighted', 'log2') -0.04753435953820792
(82, 38, 17, 'gini', 'weighted', 'sqrt') -0.047569406641263
(136, 7, 19, 'gini', 'weighted', 'log2') -0.04764738598442717
(24, 13, 40, 'entropy', 'weighted', 'log2') -0.04780730897009967
(125, 46, 16, 'gini', 'weighted', 'log2') -0.047820757286842916
(22, 50, 20, 'entropy', 'weighted', 'sqrt') -0.04782424413676184
(120, 14, 30, 'entropy', 'weighted', 'log2') -0.04782644178454845
(142, 27, 32, 'entropy', 'weighted', 'log2') -0.04783142389525374
(100, 9, 24, 'gini', 'weighted', 'log2') -0.04783296943231453
(76, 50, None, 'gini', 'weighted', 'sqrt') -0.04802786124009833
(69, 35, 17, 'gini', 'weighted', 'log2') -0.04807419530823795
(55, 40, 14, 'gini', 'weighted', 'sqrt') -0.04808333333333354
(99, 47, 38, 'gini', 'weighted', 'sqrt') -0.048142701525054496
(72, 43, 20, 'gini', 'weighted', 'log2') -0.04819398907103836
(72, 43, 35, 'gini', 'weighted', 'log2') -0.04819398907103836
(20, 11, 38, 'entropy', 'weighted', 'sqrt') -0.04834105148460914
(25, 33, 33, 'gini', 'weighted', 'sqrt') -0.04846300326441803
(61, 36, 36, 'entropy', 'weighted', 'sqrt') -0.04859828587226985
(66, 50, 30, 'entropy', 'weighted', 'log2') -0.04861035422343334
(17, 48, 37, 'entropy', 'weighted', 'sqrt') -0.04863562091503279
(124, 46, 22, 'entropy', 'weighted', 'sqrt') -0.04865500273373434
(90, 47, 21, 'entropy', 'weighted', 'log2') -0.04866739486619343
(149, 46, 22, 'gini', 'weighted', 'sqrt') -0.04872925170068037
(147, 34, 25, 'gini', 'weighted', 'sqrt') -0.04873503808487495
(101, 35, 38, 'gini', 'weighted', 'sqrt') -0.04884081632653071
(17, 43, 39, 'gini', 'weighted', 'log2') -0.04887830111625385
(23, 22, 16, 'gini', 'weighted', 'sqrt') -0.04889978213507638
(112, 37, 15, 'gini', 'weighted', 'log2') -0.04890889252591377
(71, 48, 31, 'gini', 'weighted', 'log2') -0.04898411829134731
(21, 18, 37, 'entropy', 'weighted', 'sqrt') -0.049073770491803316
(62, 31, 26, 'entropy', 'weighted', 'sqrt') -0.049117729699353845
(103, 12, 20, 'gini', 'weighted', 'sqrt') -0.049129482617027154
(70, 25, 27, 'entropy', 'weighted', 'sqrt') -0.04915616438356165
(53, 16, 25, 'gini', 'weighted', 'sqrt') -0.04933825540060163
(44, 10, 26, 'gini', 'weighted', 'log2') -0.04934286499862527
(89, 50, 28, 'entropy', 'weighted', 'log2') -0.049360718171926145
(56, 33, 23, 'gini', 'weighted', 'log2') -0.04936089203154753
(58, 31, 33, 'entropy', 'weighted', 'log2') -0.049512792596624965
(139, 13, 19, 'entropy', 'weighted', 'log2') -0.049578796561604715
(21, 30, 38, 'entropy', 'weighted', 'log2') -0.049591220850480185
(16, 46, 19, 'entropy', 'weighted', 'log2') -0.049624489795918394
(54, 33, 34, 'entropy', 'weighted', 'sqrt') -0.049670748299319806
